ts,used_mib,available_mib,swap_mib,container_rss_mib,running,waiting,kv_pct,prefix_hit_pct,prompt_tps,gen_tps
2026-04-12T22:21:28.755+00:00,68859,55690,6658,3319,,,,,,
2026-04-12T22:21:30.795+00:00,68865,55685,6658,3319,,,,,,
2026-04-12T22:21:31.310+00:00,68836,55713,6658,3319,,,,,,
2026-04-12T22:21:31.825+00:00,68831,55718,6658,3319,,,,,,
2026-04-12T22:21:32.342+00:00,68832,55717,6658,3319,,,,,,
2026-04-12T22:21:32.858+00:00,68833,55716,6657,3319,,,,,,
2026-04-12T22:21:33.374+00:00,68835,55714,6657,3319,,,,,,
2026-04-12T22:21:33.891+00:00,68835,55714,6657,3319,,,,,,
2026-04-12T22:21:35.922+00:00,68827,55722,6657,3319,,,,,,
2026-04-12T22:21:36.438+00:00,68831,55718,6657,3319,,,,,,
2026-04-12T22:21:36.953+00:00,68819,55730,6657,3319,,,,,,
2026-04-12T22:21:37.470+00:00,68861,55688,6657,3319,,,,,,
2026-04-12T22:21:37.987+00:00,68858,55691,6657,3319,,,,,,
2026-04-12T22:21:38.502+00:00,68861,55688,6657,3319,,,,,,
2026-04-12T22:21:39.020+00:00,68854,55695,6657,3319,,,,,,
2026-04-12T22:21:41.055+00:00,68854,55695,6657,3319,,,,,,
2026-04-12T22:21:41.570+00:00,68856,55693,6657,3319,,,,,,
2026-04-12T22:21:42.085+00:00,68840,55709,6657,3319,,,,,,
2026-04-12T22:21:42.601+00:00,68831,55718,6657,3319,,,,,,
2026-04-12T22:21:43.115+00:00,68834,55715,6657,3319,,,,,,
2026-04-12T22:21:43.629+00:00,68831,55718,6657,3319,,,,,,
2026-04-12T22:21:44.143+00:00,68831,55718,6656,3319,,,,,,
2026-04-12T22:21:46.177+00:00,68926,55623,6656,3319,,,,,,
2026-04-12T22:21:46.693+00:00,68921,55629,6656,3319,,,,,,
2026-04-12T22:21:47.208+00:00,68917,55632,6656,3319,,,,,,
2026-04-12T22:21:47.723+00:00,68901,55648,6656,3319,,,,,,
2026-04-12T22:21:48.240+00:00,68891,55658,6656,3319,,,,,,
2026-04-12T22:21:48.758+00:00,68881,55669,6656,3319,,,,,,
2026-04-12T22:21:49.274+00:00,68887,55662,6656,3319,,,,,,
2026-04-12T22:21:51.303+00:00,68880,55669,6656,3319,,,,,,
2026-04-12T22:21:51.819+00:00,68874,55676,6656,3319,,,,,,
2026-04-12T22:21:52.335+00:00,68873,55677,6656,3319,,,,,,
2026-04-12T22:21:52.852+00:00,68853,55696,6656,3319,,,,,,
2026-04-12T22:21:53.369+00:00,68862,55687,6656,3319,,,,,,
2026-04-12T22:21:53.885+00:00,68864,55685,6656,3319,,,,,,
2026-04-12T22:21:54.400+00:00,68864,55686,6656,3319,,,,,,
2026-04-12T22:21:56.432+00:00,68849,55700,6656,3319,,,,,,
2026-04-12T22:21:56.949+00:00,68859,55690,6656,3319,,,,,,
2026-04-12T22:21:57.463+00:00,68855,55694,6656,3319,,,,,,
2026-04-12T22:21:57.980+00:00,68849,55700,6656,3319,,,,,,
2026-04-12T22:21:58.496+00:00,68851,55698,6656,3319,,,,,,
2026-04-12T22:21:59.011+00:00,68852,55697,6656,3319,,,,,,
2026-04-12T22:21:59.527+00:00,68848,55701,6656,3319,,,,,,
2026-04-12T22:22:01.562+00:00,68851,55698,6656,3319,,,,,,
2026-04-12T22:22:02.077+00:00,68847,55702,6656,3319,,,,,,
2026-04-12T22:22:02.592+00:00,68841,55708,6656,3319,,,,,,
2026-04-12T22:22:03.108+00:00,68853,55696,6656,3319,,,,,,
2026-04-12T22:22:03.624+00:00,68844,55706,6656,3319,,,,,,
2026-04-12T22:22:04.141+00:00,68849,55700,6656,3319,,,,,,
2026-04-12T22:22:04.656+00:00,68846,55703,6656,3319,,,,,,
2026-04-12T22:22:06.687+00:00,68895,55654,6655,3319,,,,,,
2026-04-12T22:22:07.202+00:00,68889,55660,6655,3319,,,,,,
2026-04-12T22:22:07.716+00:00,68888,55661,6655,3319,,,,,,
2026-04-12T22:22:08.232+00:00,68873,55676,6655,3319,,,,,,
2026-04-12T22:22:08.747+00:00,68870,55679,6655,3319,,,,,,
2026-04-12T22:22:09.262+00:00,68876,55673,6655,3319,,,,,,
2026-04-12T22:22:09.777+00:00,68863,55686,6655,3319,,,,,,
2026-04-12T22:22:11.810+00:00,68863,55686,6655,3319,,,,,,
2026-04-12T22:22:12.326+00:00,68860,55689,6655,3319,,,,,,
2026-04-12T22:22:12.841+00:00,68859,55690,6655,3319,,,,,,
2026-04-12T22:22:13.357+00:00,68864,55685,6655,3319,,,,,,
2026-04-12T22:22:13.874+00:00,68857,55692,6655,3319,,,,,,
2026-04-12T22:22:14.388+00:00,68856,55694,6655,3319,,,,,,
2026-04-12T22:22:14.902+00:00,68855,55694,6655,3319,,,,,,
2026-04-12T22:22:16.937+00:00,68871,55678,6655,3319,,,,,,
2026-04-12T22:22:17.452+00:00,68873,55677,6655,3319,,,,,,
2026-04-12T22:22:17.968+00:00,68865,55685,6655,3319,,,,,,
2026-04-12T22:22:18.484+00:00,68874,55675,6655,3319,,,,,,
2026-04-12T22:22:19.000+00:00,68862,55687,6655,3319,,,,,,
2026-04-12T22:22:19.516+00:00,68851,55698,6655,3319,,,,,,
2026-04-12T22:22:20.032+00:00,68859,55690,6655,3319,,,,,,
2026-04-12T22:22:22.066+00:00,68850,55699,6655,3319,,,,,,
2026-04-12T22:22:22.581+00:00,68841,55708,6655,3319,,,,,,
2026-04-12T22:22:23.096+00:00,68839,55710,6655,3319,,,,,,
2026-04-12T22:22:23.612+00:00,68829,55720,6655,3319,,,,,,
2026-04-12T22:22:24.129+00:00,68828,55721,6655,3319,,,,,,
2026-04-12T22:22:24.644+00:00,68829,55720,6655,3319,,,,,,
2026-04-12T22:22:25.160+00:00,68829,55720,6655,3319,,,,,,
2026-04-12T22:22:27.192+00:00,68957,55593,6655,3319,,,,,,
2026-04-12T22:22:27.707+00:00,68951,55598,6655,3319,,,,,,
2026-04-12T22:22:28.224+00:00,68952,55597,6655,3319,,,,,,
2026-04-12T22:22:28.739+00:00,68955,55594,6655,3319,,,,,,
2026-04-12T22:22:29.257+00:00,68959,55591,6655,3319,,,,,,
2026-04-12T22:22:29.774+00:00,68961,55589,6655,3319,,,,,,
2026-04-12T22:22:30.288+00:00,69068,55481,6655,3348,,,,,,
2026-04-12T22:22:32.324+00:00,68538,56011,6655,3348,,,,,,
2026-04-12T22:22:32.847+00:00,68569,55981,6655,3348,,,,,,
2026-04-12T22:22:33.368+00:00,68604,55946,6655,3348,,,,,,
2026-04-12T22:22:33.884+00:00,68629,55920,6655,3348,,,,,,
2026-04-12T22:22:34.399+00:00,68658,55891,6655,3348,,,,,,
2026-04-12T22:22:34.913+00:00,68673,55877,6655,3348,,,,,,
2026-04-12T22:22:35.428+00:00,68716,55834,6650,3340,,,,,,
2026-04-12T22:22:37.470+00:00,68646,55903,6650,3340,,,,,,
2026-04-12T22:22:37.988+00:00,68657,55892,6650,3340,,,,,,
2026-04-12T22:22:38.505+00:00,68676,55873,6650,3340,,,,,,
2026-04-12T22:22:39.020+00:00,69138,55411,6650,3340,,,,,,
