ts,used_mib,available_mib,swap_mib,container_rss_mib,running,waiting,kv_pct,prefix_hit_pct,prompt_tps,gen_tps
2026-04-13T14:04:15.252+00:00,71120,53429,7019,3850,,,,,,
2026-04-13T14:04:17.298+00:00,71476,53073,7019,3850,,,,,,
2026-04-13T14:04:17.821+00:00,71451,53099,7019,3850,,,,,,
2026-04-13T14:04:18.342+00:00,71432,53117,7019,3850,,,,,,
2026-04-13T14:04:18.863+00:00,71444,53105,7019,3850,,,,,,
2026-04-13T14:04:19.385+00:00,71441,53108,7019,3850,,,,,,
2026-04-13T14:04:19.900+00:00,71440,53109,7019,3850,,,,,,
2026-04-13T14:04:20.418+00:00,71436,53114,7019,3872,,,,,,
2026-04-13T14:04:22.454+00:00,71424,53125,7019,3872,,,,,,
2026-04-13T14:04:22.970+00:00,71501,53048,7019,3872,,,,,,
2026-04-13T14:04:23.485+00:00,71510,53039,7019,3872,,,,,,
2026-04-13T14:04:24.002+00:00,71481,53068,7019,3872,,,,,,
2026-04-13T14:04:24.517+00:00,71480,53069,7019,3872,,,,,,
2026-04-13T14:04:25.035+00:00,71478,53071,7019,3872,,,,,,
2026-04-13T14:04:25.550+00:00,70950,53599,7044,2778,,,,,,
2026-04-13T14:04:27.608+00:00,71444,53105,7055,2778,,,,,,
2026-04-13T14:04:28.127+00:00,72211,52338,7060,2778,,,,,,
2026-04-13T14:04:28.646+00:00,72268,52282,7060,2778,,,,,,
2026-04-13T14:04:29.166+00:00,72287,52263,7060,2778,,,,,,
2026-04-13T14:04:29.682+00:00,72295,52254,7060,2778,,,,,,
2026-04-13T14:04:30.199+00:00,72340,52209,7060,2778,,,,,,
2026-04-13T14:04:30.719+00:00,72386,52163,7060,2790,,,,,,
2026-04-13T14:04:32.760+00:00,72390,52160,7060,2790,,,,,,
2026-04-13T14:04:33.275+00:00,72390,52159,7060,2790,,,,,,
2026-04-13T14:04:33.791+00:00,72411,52138,7060,2790,,,,,,
2026-04-13T14:04:34.315+00:00,72402,52147,7059,2790,,,,,,
2026-04-13T14:04:34.832+00:00,72406,52143,7059,2790,,,,,,
2026-04-13T14:04:35.346+00:00,72394,52156,7059,2790,,,,,,
2026-04-13T14:04:35.863+00:00,72395,52154,7059,2822,,,,,,
2026-04-13T14:04:37.897+00:00,72420,52129,7059,2822,,,,,,
2026-04-13T14:04:38.415+00:00,72450,52099,7059,2822,,,,,,
2026-04-13T14:04:38.931+00:00,72445,52104,7059,2822,,,,,,
2026-04-13T14:04:39.448+00:00,72444,52105,7059,2822,,,,,,
2026-04-13T14:04:39.965+00:00,72442,52107,7059,2822,,,,,,
2026-04-13T14:04:40.479+00:00,72465,52084,7059,2822,,,,,,
2026-04-13T14:04:40.998+00:00,72451,52098,7059,2842,,,,,,
