ts,session_id,turn_index,status,prompt_tokens,completion_tokens,total_tokens,wall_latency_s,ttft_s,running_max_during,kv_pct_max_during,mem_used_max_during,swap_max_during,ramp_event
2026-04-13T14:05:25.556+00:00,0,0,ok,86,2254,2340,69.302,32.937,1,0.50,72465,7060,S1 joined
2026-04-13T14:05:51.461+00:00,0,1,ok,2373,1249,3622,25.905,0.246,2,1.10,72474,7058,
2026-04-13T14:06:17.505+00:00,1,0,ok,91,2500,2591,51.949,0.284,2,1.50,72487,7058,S2 joined
2026-04-13T14:06:45.480+00:00,0,2,ok,3649,2355,6004,54.019,0.241,3,2.20,72487,7055,
2026-04-13T14:07:25.868+00:00,1,1,ok,2619,2500,5119,68.362,0.301,3,2.60,72461,7055,
2026-04-13T14:07:25.869+00:00,2,0,ok,93,2500,2593,68.363,0.301,3,2.60,72461,7055,S3 joined
2026-04-13T14:07:58.460+00:00,0,3,ok,6035,2500,8535,72.980,0.322,4,3.30,72483,7054,
2026-04-13T14:08:19.382+00:00,3,0,ok,85,1804,1889,53.512,0.529,4,3.70,72483,7054,S4 joined
2026-04-13T14:08:40.103+00:00,1,2,ok,5151,2500,7651,74.235,0.530,4,4.00,72483,7054,
2026-04-13T14:08:40.104+00:00,2,1,ok,2625,2500,5125,74.235,0.529,4,4.00,72483,7054,
2026-04-13T14:09:13.417+00:00,0,4,ok,8563,2500,11063,74.956,0.475,4,4.30,72485,7054,
2026-04-13T14:09:34.204+00:00,3,1,ok,1916,2500,4416,74.822,0.335,4,4.60,72485,7053,
2026-04-13T14:09:55.067+00:00,2,2,ok,5153,2500,7653,74.963,1.112,4,5.10,72485,7053,
2026-04-13T14:09:55.095+00:00,1,3,ok,7677,2500,10177,74.991,1.186,4,5.10,72485,7053,
2026-04-13T14:10:28.090+00:00,0,5,ok,11095,2500,13595,74.672,0.311,4,5.50,72481,7053,
2026-04-13T14:10:49.194+00:00,3,2,ok,4448,2500,6948,74.989,0.191,4,5.70,72481,7053,
2026-04-13T14:11:06.641+00:00,2,3,ok,7685,2381,10066,71.574,0.383,4,5.90,72457,7053,
2026-04-13T14:11:10.990+00:00,1,4,ok,10209,2500,12709,75.895,0.459,4,5.90,72457,7053,
2026-04-13T14:11:38.594+00:00,0,6,ok,13628,2304,15932,70.504,0.418,4,6.40,72457,7053,
2026-04-13T14:11:59.000+00:00,2,4,ok,10098,1684,11782,52.358,0.940,4,6.70,72463,7053,
2026-04-13T14:12:08.191+00:00,3,3,ok,6981,2327,9308,78.996,0.325,4,7.00,72545,7053,
2026-04-13T14:12:36.012+00:00,1,5,ok,12742,2500,15242,85.022,0.458,4,7.10,72545,7053,
2026-04-13T14:13:04.224+00:00,0,7,ok,15965,2500,18465,85.629,0.502,4,7.50,72545,7053,
