ts,used_mib,available_mib,swap_mib,container_rss_mib,running,waiting,kv_pct,prefix_hit_pct,prompt_tps,gen_tps
2026-04-13T17:51:50.064+00:00,69625,54924,7107,6278,,,,,,
2026-04-13T17:51:52.101+00:00,70363,54186,7107,6278,,,,,,
2026-04-13T17:51:52.627+00:00,70611,53938,7107,6278,,,,,,
2026-04-13T17:51:53.150+00:00,70608,53941,7107,6278,,,,,,
2026-04-13T17:51:53.668+00:00,70585,53964,7107,6278,,,,,,
2026-04-13T17:51:54.184+00:00,70591,53958,7107,6278,,,,,,
2026-04-13T17:51:54.710+00:00,70580,53970,7107,6278,,,,,,
2026-04-13T17:51:55.234+00:00,70581,53969,7107,6302,,,,,,
2026-04-13T17:51:57.287+00:00,70553,53996,7107,6302,,,,,,
2026-04-13T17:51:57.813+00:00,70525,54024,7107,6302,,,,,,
2026-04-13T17:51:58.327+00:00,70526,54024,7107,6302,,,,,,
2026-04-13T17:51:58.851+00:00,70522,54027,7107,6302,,,,,,
2026-04-13T17:51:59.369+00:00,70505,54044,7107,6302,,,,,,
2026-04-13T17:51:59.893+00:00,70490,54059,7107,6302,,,,,,
2026-04-13T17:52:00.409+00:00,71559,52990,7107,6306,,,,,,
2026-04-13T17:52:02.445+00:00,71597,52952,7107,6306,,,,,,
2026-04-13T17:52:02.963+00:00,71593,52956,7107,6306,,,,,,
2026-04-13T17:52:03.479+00:00,71593,52956,7107,6306,,,,,,
2026-04-13T17:52:03.995+00:00,71590,52960,7107,6306,,,,,,
2026-04-13T17:52:04.512+00:00,71571,52978,7107,6306,,,,,,
2026-04-13T17:52:05.028+00:00,71556,52993,7107,6306,,,,,,
2026-04-13T17:52:05.547+00:00,71549,53001,7107,6318,,,,,,
2026-04-13T17:52:07.590+00:00,71527,53022,7107,6318,,,,,,
2026-04-13T17:52:08.107+00:00,71513,53037,7107,6318,,,,,,
2026-04-13T17:52:08.623+00:00,71796,52753,7107,6318,,,,,,
2026-04-13T17:52:09.156+00:00,71797,52752,7107,6318,,,,,,
