ts,session_id,turn_index,status,prompt_tokens,completion_tokens,total_tokens,wall_latency_s,ttft_s,running_max_during,kv_pct_max_during,mem_used_max_during,swap_max_during,ramp_event
2026-04-13T17:53:05.259+00:00,0,0,ok,7034,2372,9406,74.194,35.580,1,1.60,71892,7107,S1 joined
2026-04-13T17:54:00.950+00:00,1,0,ok,7825,2514,10339,55.691,2.253,2,3.60,71894,7102,S2 joined
2026-04-13T17:54:57.147+00:00,2,0,ok,7777,2050,9827,56.196,2.132,3,5.90,71859,7099,S3 joined
2026-04-13T17:55:27.621+00:00,1,1,ok,10620,3027,13647,86.670,2.132,4,7.50,71859,7099,
2026-04-13T17:55:55.204+00:00,0,1,ok,9716,6441,16157,169.945,2.187,4,7.90,71894,7102,
2026-04-13T17:56:38.066+00:00,2,1,ok,10107,3260,13367,100.918,1.094,4,8.60,71907,7098,
2026-04-13T17:57:07.616+00:00,3,0,ok,3775,4184,7959,130.468,1.180,4,9.10,71907,7098,S4 joined
2026-04-13T17:58:17.087+00:00,1,2,ok,13984,5443,19427,169.465,0.593,4,10.20,71984,7097,
2026-04-13T17:58:49.831+00:00,0,2,ok,16526,5567,22093,174.626,0.349,4,11.00,71984,7097,
2026-04-13T17:59:10.216+00:00,2,2,ok,13608,4786,18394,152.149,1.018,4,11.10,71984,7097,
2026-04-13T17:59:35.149+00:00,3,1,ok,8162,4633,12795,147.531,0.350,4,11.80,71984,7096,
2026-04-13T17:59:52.436+00:00,1,3,ok,20770,2914,23684,95.348,0.821,4,12.20,71960,7096,
2026-04-13T18:01:44.075+00:00,3,2,ok,13049,3914,16963,128.925,0.668,4,13.80,71960,7096,
2026-04-13T18:02:09.419+00:00,1,4,ok,24067,4147,28214,136.982,0.386,4,14.20,72132,7096,
2026-04-13T18:02:29.085+00:00,0,3,ok,23017,6631,29648,219.253,1.126,4,14.60,72132,7096,
2026-04-13T18:02:34.832+00:00,2,3,ok,18682,6179,24861,204.615,0.372,4,14.90,72132,7096,
2026-04-13T18:04:14.741+00:00,0,4,ok,30004,3127,33131,105.655,0.638,4,16.30,71960,7095,
2026-04-13T18:04:20.010+00:00,3,3,ok,17272,4598,21870,155.934,0.641,4,16.30,72132,7096,
2026-04-13T18:04:28.868+00:00,2,4,ok,25097,3356,28453,114.036,0.389,4,16.90,71960,7095,
2026-04-13T18:06:04.398+00:00,2,5,ok,28703,2749,31452,95.529,0.527,4,18.10,71898,7095,
2026-04-13T18:06:09.839+00:00,1,5,ok,28666,7000,35666,240.419,0.511,4,18.10,71960,7095,
2026-04-13T18:06:43.344+00:00,3,4,ok,22194,4093,26287,143.334,0.459,4,18.60,71907,7095,
2026-04-13T18:08:16.094+00:00,2,6,ok,31736,3694,35430,131.696,0.480,4,19.80,71907,7095,
2026-04-13T18:08:22.235+00:00,0,5,ok,33552,7000,40552,247.493,0.861,4,20.10,71907,7095,
2026-04-13T18:08:53.382+00:00,2,7,ok,35725,1014,36739,37.286,0.418,4,20.50,71905,7094,
2026-04-13T18:08:57.863+00:00,1,6,ok,36136,4682,40818,168.023,0.548,4,20.50,71907,7095,
2026-04-13T18:09:11.295+00:00,3,5,ok,26602,4064,30666,147.949,0.531,4,20.70,71905,7094,
2026-04-13T18:10:36.186+00:00,1,7,ok,41314,2624,43938,98.322,2.042,4,21.80,72313,7094,
2026-04-13T18:10:55.646+00:00,2,8,ok,37011,3008,40019,122.263,0.448,4,21.80,76316,7332,
2026-04-13T18:11:12.980+00:00,0,6,ok,41036,4357,45393,170.745,0.931,4,21.80,76550,7334,
2026-04-13T18:11:36.500+00:00,3,6,ok,30931,3460,34391,145.204,1.623,4,21.80,76858,7334,
2026-04-13T18:11:49.890+00:00,1,8,ok,34057,1539,35596,73.703,10.137,4,21.80,76858,7334,
2026-04-13T18:12:16.150+00:00,0,7,ok,36500,1836,38336,63.169,10.343,3,15.70,76858,7334,
2026-04-13T18:12:53.772+00:00,0,8,ok,38780,1509,40289,37.621,0.814,2,10.60,71969,7334,
2026-04-13T18:13:11.822+00:00,3,7,ok,34657,3966,38623,95.321,0.394,3,14.70,76378,7334,
2026-04-13T18:15:19.590+00:00,3,8,ok,38932,7000,45932,127.767,0.294,1,6.20,71394,7334,
